product_type,price,stock_levels,original_demand,demand_new,demand_increase,delay_risk_after,profit,profit_after,decision,scenario
haircare,69.80800554211577,58,802,842.1,40.10000000000002,1,8612.760341012445,8607.83669587445,Reorder Stock,High Demand
skincare,14.84352327508434,53,736,772.8000000000001,36.80000000000007,0,7417.566721720687,7413.233387348171,Reorder Stock,High Demand
haircare,11.319683293090566,1,8,8.4,0.40000000000000036,0,9539.007127258714,9535.132877397711,Reduce Cost,Cost Increase
skincare,61.163343016437736,23,83,87.15,4.150000000000006,0,7729.482115724564,7725.746684728498,Reduce Cost,Cost Increase
skincare,4.805496036345893,5,871,914.55,43.549999999999955,0,2590.549443052864,2580.953872201405,Reorder Stock,High Demand
haircare,1.6999760138659377,90,147,154.35,7.349999999999994,0,2767.1381715539446,2761.0171141117635,Reduce Cost,Cost Increase
skincare,4.078332863107945,11,65,68.25,3.25,0,7818.510727659198,7818.014144471944,Reorder Stock,High Demand
cosmetics,42.95838438246007,93,426,447.3,21.30000000000001,0,8394.289365701821,8384.107920963019,Reduce Cost,Cost Increase
cosmetics,68.71759674852733,5,150,157.5,7.5,0,7502.535449634478,7501.052673534813,Reorder Stock,High Demand
skincare,64.01573294127854,14,980,1029.0,49.0,1,4916.021740659558,4910.509315966959,Reorder Stock,High Demand
skincare,15.707795681912138,51,996,1045.8,49.799999999999955,0,2225.76523809536,2215.2451816957005,Reorder Stock,High Demand
skincare,90.63545998228868,46,960,1008.0,48.0,0,6067.827809370472,6064.616178749374,Reorder Stock,High Demand
haircare,71.21338907536008,100,336,352.8,16.80000000000001,0,2840.094885797833,2836.730229775472,Reduce Cost,Cost Increase
skincare,16.160393317379977,80,249,261.45,12.449999999999989,0,3945.3720830665848,3934.635449749456,Reduce Cost,Cost Increase
skincare,99.1713286386242,54,562,590.1,28.100000000000023,0,8645.73971965049,8644.956598968558,Reorder Stock,High Demand
skincare,36.98924492862691,9,469,492.4500000000001,23.450000000000102,0,5342.543463922924,5332.589131775449,Reorder Stock,High Demand
skincare,7.547172109791272,2,280,294.0,14.0,0,6372.50030109273,6364.370534384374,Reorder Stock,High Demand
cosmetics,81.46253436923702,45,126,132.3,6.300000000000011,0,2578.1313355186744,2573.004825586016,Reduce Cost,Cost Increase
haircare,36.443627770460935,10,620,651.0,31.0,0,9333.226299507218,9330.081578950323,Reorder Stock,High Demand
skincare,51.12387008796474,48,187,196.35,9.349999999999994,0,2466.3796285203825,2457.6680328733,Reduce Cost,Cost Increase
skincare,96.34107243996338,27,320,336.0,16.0,1,8053.463102591776,8046.006643165834,Reorder Stock,High Demand
cosmetics,84.89386898495083,69,601,631.0500000000001,30.050000000000068,0,7019.279083634057,7012.50172236172,Reorder Stock,High Demand
haircare,27.67978088650196,71,884,928.2,44.200000000000045,0,2331.119378022273,2325.150529168883,Reorder Stock,High Demand
